,C4H10_3200K_1/,C4H10_3200K_2/,C4H10_3300K_1/,C4H10_3300K_2/,C4H10_3400K_1/,C4H10_3400K_2/,C4H10_3500K_1/,C4H10_3500K_2/,C4H10_3600K_1/,C4H10_3600K_2/,C4H10_4000K_1/,C4H10_4000K_2/,C4H10_4500K_1/,C4H10_4500K_2/,C4H10_5000K_1/,C4H10_5000K_2/,C2H6_3300K_1/,C2H6_3300K_2/,C2H6_4000K_1/,C2H6_4000K_2/,CH4_3600K/,CH4_3600K_2/,C8H18_3300K/,C8H18_3300K_2/,mix_3500K_1/,mix_3500K_2/,CH4_4500K_1/,CH4_4500K_2/,C4H10_3600K_1120at_1/,C4H10_3600K_1120at_2/,C2H6_4000K_1280at_1/,C2H6_4000K_1280at_2/,C8H18_4000K_1040at_1/,C8H18_4000K_1040at_2/
Degree 1-1,0.8882430469728257,0.9648252945565271,1.0772354260938892,0.8523465267720493,0.9660837835189411,0.9081370634380463,1.1091154479900014,1.168529945131557,1.0719476730695843,1.1201623481220366,1.1290119963949823,1.1195340209826765,1.1203866532577733,1.2168292632833155,0.9635694029373194,1.026016504944337,1.4382655868673564,1.36029360017191,1.1595320727800529,1.1420896874293027,1.2096446923196642,1.3300422890009405,1.0318719693192433,0.8692892799682568,1.2317363644952815,1.279762947291785,1.219721532907902,1.2600281526619028,1.277105873688804,1.128316031785663,1.4391454662166956,1.35949751218099,0.9912446221346694,1.0410723680738438
Degree 1-2,1.593494753326931,1.667348612177963,1.6310588796515748,1.6398344332773924,1.6231852353431182,1.5483895983261304,1.5806881327631002,1.5804185825942805,1.4852083125601727,1.5478141006311346,1.5498089940453461,1.5723242988121033,1.6060880925572933,1.6061031268350423,1.6735120794530756,1.6610405977058391,1.532106227229132,1.6056328015436276,1.6825036064460746,1.6747268496536158,1.1040917152671343,1.1704600527633786,1.5531574403298505,1.6162217213581391,1.6562093243752813,1.6463273006769348,1.4312223561308781,1.4269198564409658,1.657767970234387,1.7171851539548293,1.7659140580679606,1.7015168294139056,1.611468582996381,1.6138487915149538
Degree 1-3,1.5013960057654152,1.3731130697259624,1.2068829751955334,1.3879353183551795,1.4057851768597605,1.3898673564047817,1.4296281339738566,1.3714500438098107,1.431147112616191,1.419808984569591,1.3460498343552614,1.4672944921399753,1.2915932249390065,1.3621192405589233,1.3464415788910424,1.2889711477595285,1.3112498174610694,1.3265604862967066,1.2192246135856655,1.2813307670064866,-inf,-inf,1.4466049133806465,1.4199344647544445,1.1662206758225275,1.0386287598152795,-inf,-inf,1.3504169400381247,1.4530706800108344,1.3153614200449482,1.3351711322921849,1.4475033735609366,1.4549374855595836
Degree 1-4,1.1051472522052452,0.5908132454664251,0.8512066747899623,1.0577261551919936,-inf,-inf,0.9342478707237634,0.7232398136724353,-inf,0.7155124845118777,-inf,0.7642838537933696,-inf,-inf,-inf,-inf,0.7908443700046798,0.5944622942999074,-inf,-inf,-inf,-inf,0.7565792071943355,-inf,-inf,-inf,-inf,-inf,0.656710969623995,0.8132410018600423,-inf,-inf,0.803162329329036,0.880678554342221
Degree 2-2,1.4125053129845064,1.6148730976579697,1.6436952608940691,1.5893576715784299,1.6013889560113839,1.5934805599387725,1.4765169556288968,1.4149460191804104,1.5302499969171954,1.5220952587881373,1.6158319170250548,1.573263267106902,1.6296333959199782,1.5901594838690398,1.687786822192586,1.676776537606422,1.2338250160734836,1.370477643368334,1.5184898919070366,1.3977060129238987,-inf,0.5020911024643059,1.6170709736566313,1.6735932198313204,1.3196570493027975,1.416619804789032,0.954785195392839,1.0895319156137866,1.6403532526971494,1.6824205495978244,1.586059900550395,1.5459042961324467,1.740465006717733,1.7081131862526084
Degree 2-3,1.6707445845336162,1.675747946852843,1.6359806720159593,1.6485720976054312,1.657485691703582,1.7283379141572568,1.6197410283880163,1.7017054456629261,1.6793380591255032,1.694674147031889,1.6974026640433975,1.6357793884983716,1.7265839838081631,1.634140231836174,1.6667947592446832,1.7264338451765748,1.2509454665263324,1.1957526417378206,1.3745352462521365,1.3713370921026824,-inf,-inf,1.8277445421567822,1.8561219408874363,1.202534623445758,1.1025737426879645,-inf,-inf,1.771491262652845,1.770764119814734,1.4598670776876037,1.514725275565534,1.8828745238623545,1.867570267919066
Degree 2-4,0.9561477217193894,0.7508404688332107,1.1127598589592973,0.9088978202318799,-inf,-inf,1.0781857613795185,0.7920610734541712,1.001256010281704,0.7625029072671077,0.7208943008146591,-inf,-inf,-inf,-inf,-inf,0.4129021348475824,0.5942832431788152,-inf,-inf,-inf,-inf,1.1495656584238585,1.1408070979591902,-inf,-inf,-inf,-inf,1.1940902189361526,0.9673155013176956,-inf,-inf,1.1814931493140257,1.1744380741295353
Degree 3-3,1.0115497933311073,0.9088434268207851,0.9119190042265326,0.9507683861905065,1.1649696956184388,1.1936345901452527,1.2153681473754505,1.2794773711022787,1.2513735703449878,1.2393223557401027,1.219900185190534,1.0802599680310292,1.1803496147916945,1.2169501031750822,1.0926008881231273,0.9841652697979799,0.9265467939456382,-inf,-inf,-inf,-inf,-inf,1.4989731166790012,1.534127178977752,-inf,-inf,-inf,-inf,1.3165529928599558,1.2017061642247584,-inf,0.8977901669905507,1.4187016493452378,1.4748761564791286
Degree 3-4,0.9571659055061664,0.6004565557222822,-inf,0.8068458481358713,-inf,-inf,0.623471511782007,-inf,0.7419851205693778,0.7672536564157653,-inf,-inf,-inf,-inf,-inf,-inf,0.3219153530482207,-inf,-inf,-inf,-inf,-inf,0.9892299134820809,0.8037403890108644,-inf,-inf,-inf,-inf,0.7327237016653483,-inf,-inf,-inf,0.9817797144148163,0.9706709126576701
Degree 4-4,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
